"","seed1","team1","seed2","team2","score1","score2","winner","region","upset","year","Conf_team1","W_team1","L_team1","PPG_team1","PPG_Allowed_team1","Pace_team1","MOV_team1","SOS_team1","OSRS_team1","DSRS_team1","Adj_ORtg_team1","Adj_DRtg_team1","Conf_team2","W_team2","L_team2","PPG_team2","PPG_Allowed_team2","Pace_team2","MOV_team2","SOS_team2","OSRS_team2","DSRS_team2","Adj_ORtg_team2","Adj_DRtg_team2"
"11",6,"Nebraska",3,"Oregon State",51,61,"Oregon State","region1","no",2024,"Big Ten",23,12,72.4,64.2,70.5,8.2,14.64,12.43,10.41,108.65,77.42,"Pac-12",27,8,70.9,59.8,67.7,11.17,16.76,13.53,14.41,112.39,74.17
"12",7,"Ole Miss",2,"Notre Dame",56,71,"Notre Dame","region1","no",2024,"SEC",24,9,68.5,59.4,70.3,9.12,12.19,7.79,13.52,103.18,74.43,"ACC",28,7,78.6,61.1,74.4,17.51,14.74,19.24,13.02,110.98,68.75
"13",1,"South Carolina",4,"Indiana",79,75,"South Carolina","region1","no",2024,"SEC",38,0,85.4,56.6,74.1,28.89,16.37,26.76,18.51,123.17,63.87,"Big Ten",26,6,79.5,64.4,71.4,15.13,14.38,18.03,11.47,117.01,77.45
"14",3,"Oregon State",2,"Notre Dame",70,65,"Oregon State","region1","yes",2024,"Pac-12",27,8,70.9,59.8,67.7,11.17,16.76,13.53,14.41,112.39,74.17,"ACC",28,7,78.6,61.1,74.4,17.51,14.74,19.24,13.02,110.98,68.75
"15",1,"South Carolina",3,"Oregon State",70,58,"South Carolina","region1","no",2024,"SEC",38,0,85.4,56.6,74.1,28.89,16.37,26.76,18.51,123.17,63.87,"Pac-12",27,8,70.9,59.8,67.7,11.17,16.76,13.53,14.41,112.39,74.17
"16",1,"Iowa",16,"Holy Cross",91,65,"Iowa","region2","no",2024,"Big Ten",34,5,91,71.9,76.7,19.1,17.95,32.73,4.32,126.21,77.95,"Patriot",21,13,62.9,56.9,66.3,6.06,-8.52,-5.69,2.17,87.8,92.9
"17",8,"West Virginia",9,"Princeton",63,53,"West Virginia","region2","no",2024,"Big 12",25,8,73.7,57.8,73,15.85,11.67,13.54,13.98,107.91,71.61,"Ivy",25,5,69.2,56.2,65.7,12.97,4.13,6.45,10.65,106.19,81.28
"18",5,"Colorado",12,"Drake",86,72,"Colorado","region2","no",2024,"Pac-12",24,10,75.2,64.3,71.5,10.94,17.67,17.75,10.86,113.65,74.96,"MVC",29,6,81.2,70,75.6,11.23,1.77,14.43,-1.43,105.02,88.09
"19",4,"Kansas State",13,"Portland",78,65,"Kansas State","region2","no",2024,"Big 12",26,8,71.7,57.9,71.2,13.74,14.42,11.85,16.3,107.42,69.68,"WCC",21,13,67.9,62.4,72.5,5.5,3.77,2.82,4.29,91.9,82.51
"20",6,"Louisville",11,"Middle Tennessee",69,71,"Middle Tennessee","region2","yes",2024,"ACC",24,10,73.4,63.3,71.6,10.09,14.48,14.18,10.39,111.6,78.32,"CUSA",30,5,71.4,55.5,66.4,15.86,0.87,5.38,11.35,106.23,81.66
"21",3,"LSU",14,"Rice",70,60,"LSU","region2","no",2024,"SEC",31,6,85.9,63.3,77.9,22.59,11.46,25.71,8.34,116.36,73.55,"AAC",19,15,67.2,63,71.1,4.15,3.82,2.73,5.24,95.81,84.74
"22",7,"Creighton",10,"UNLV",87,73,"Creighton","region2","no",2024,"Big East",26,6,73.4,62.8,67.9,10.59,12.53,14.72,8.4,114.53,82.61,"MWC",30,3,79,59.1,70.3,19.97,-0.34,13.71,5.93,111.1,83.59
"23",2,"UCLA",15,"California Baptist",84,55,"UCLA","region2","no",2024,"Pac-12",27,7,77.3,61.1,71.5,16.18,17.82,19.24,14.76,116.38,70.44,"WAC",28,4,80.3,71.3,78.2,9,-5.67,11.54,-8.22,95.88,92.45
"24",1,"Iowa",8,"West Virginia",64,54,"Iowa","region2","no",2024,"Big Ten",34,5,91,71.9,76.7,19.1,17.95,32.73,4.32,126.21,77.95,"Big 12",25,8,73.7,57.8,73,15.85,11.67,13.54,13.98,107.91,71.61
"25",5,"Colorado",4,"Kansas State",63,50,"Colorado","region2","yes",2024,"Pac-12",24,10,75.2,64.3,71.5,10.94,17.67,17.75,10.86,113.65,74.96,"Big 12",26,8,71.7,57.9,71.2,13.74,14.42,11.85,16.3,107.42,69.68
"26",11,"Middle Tennessee",3,"LSU",56,83,"LSU","region2","no",2024,"CUSA",30,5,71.4,55.5,66.4,15.86,0.87,5.38,11.35,106.23,81.66,"SEC",31,6,85.9,63.3,77.9,22.59,11.46,25.71,8.34,116.36,73.55
"27",7,"Creighton",2,"UCLA",63,67,"UCLA","region2","no",2024,"Big East",26,6,73.4,62.8,67.9,10.59,12.53,14.72,8.4,114.53,82.61,"Pac-12",27,7,77.3,61.1,71.5,16.18,17.82,19.24,14.76,116.38,70.44
"28",1,"Iowa",5,"Colorado",89,68,"Iowa","region2","no",2024,"Big Ten",34,5,91,71.9,76.7,19.1,17.95,32.73,4.32,126.21,77.95,"Pac-12",24,10,75.2,64.3,71.5,10.94,17.67,17.75,10.86,113.65,74.96
"29",3,"LSU",2,"UCLA",78,69,"LSU","region2","yes",2024,"SEC",31,6,85.9,63.3,77.9,22.59,11.46,25.71,8.34,116.36,73.55,"Pac-12",27,7,77.3,61.1,71.5,16.18,17.82,19.24,14.76,116.38,70.44
"30",1,"Iowa",3,"LSU",94,87,"Iowa","region2","no",2024,"Big Ten",34,5,91,71.9,76.7,19.1,17.95,32.73,4.32,126.21,77.95,"SEC",31,6,85.9,63.3,77.9,22.59,11.46,25.71,8.34,116.36,73.55
"31",1,"USC",16,"Texas A&M-Corpus Christi",87,55,"USC","region3","no",2024,"Pac-12",29,6,74.9,62.5,70.4,12.43,17.78,17.79,12.41,114.98,73.58,"Southland",23,9,66.8,57.9,72.1,8.91,-6.63,-2.48,0.14,86.54,89.73
"32",8,"Kansas",9,"Michigan",81,72,"Kansas","region3","no",2024,"Big 12",20,13,68.2,64.3,68.9,3.88,16.46,10.53,9.81,108.47,80.54,"Big Ten",20,14,70,64.3,69.4,5.71,13.39,8.68,10.42,105.27,79.93
"33",5,"Baylor",12,"Vanderbilt",80,63,"Baylor","region3","no",2024,"Big 12",26,8,74.8,60.4,73.9,14.38,13.86,16.15,12.09,109.1,71.37,"SEC",23,10,68.5,62.3,70.6,6.15,10.27,7.31,9.11,101.96,79.96
"34",4,"Virginia Tech",13,"Marshall",92,49,"Virginia Tech","region3","no",2024,"ACC",25,8,75.2,61.7,68.9,13.48,13.4,15.29,11.59,115.94,79.24,"Sun Belt",26,7,85.3,71.8,80.6,13.48,-0.81,16.8,-7.29,102.18,90.97
"35",6,"Syracuse",11,"Arizona",74,69,"Syracuse","region3","no",2024,"ACC",24,8,74,65.7,71.7,8.34,11.34,13.2,6.48,108.42,82.39,"Pac-12",18,16,69.9,65.8,70.2,4.09,17.17,12.64,8.61,106.01,77.07
"36",3,"UConn",14,"Jackson State",86,64,"UConn","region3","no",2024,"Big East",33,6,79.7,57.2,71.4,22.46,16.62,22.09,15.56,119.66,68.22,"SWAC",26,7,71.4,57.5,71.7,13.88,-4.55,1.85,2.91,94.67,87.44
"37",7,"Duke",10,"Richmond",72,61,"Duke","region3","no",2024,"ACC",22,12,68.2,57.9,69.1,10.32,17.25,10.02,17.55,106.7,69.53,"A-10",29,6,73.1,61,68.3,12.09,1.88,9.81,4.15,107.25,87.31
"38",2,"Ohio State",15,"Maine",80,57,"Ohio State","region3","no",2024,"Big Ten",26,6,79.3,64,73.9,15.31,16.76,19.21,12.58,114.75,72.47,"AEC",24,10,64.1,57,65.1,7.06,-3.98,-1.4,4.48,95.12,90.62
"39",1,"USC",8,"Kansas",73,55,"USC","region3","no",2024,"Pac-12",29,6,74.9,62.5,70.4,12.43,17.78,17.79,12.41,114.98,73.58,"Big 12",20,13,68.2,64.3,68.9,3.88,16.46,10.53,9.81,108.47,80.54
"40",5,"Baylor",4,"Virginia Tech",75,72,"Baylor","region3","yes",2024,"Big 12",26,8,74.8,60.4,73.9,14.38,13.86,16.15,12.09,109.1,71.37,"ACC",25,8,75.2,61.7,68.9,13.48,13.4,15.29,11.59,115.94,79.24
"41",6,"Syracuse",3,"UConn",64,72,"UConn","region3","no",2024,"ACC",24,8,74,65.7,71.7,8.34,11.34,13.2,6.48,108.42,82.39,"Big East",33,6,79.7,57.2,71.4,22.46,16.62,22.09,15.56,119.66,68.22
"42",7,"Duke",2,"Ohio State",75,63,"Duke","region3","yes",2024,"ACC",22,12,68.2,57.9,69.1,10.32,17.25,10.02,17.55,106.7,69.53,"Big Ten",26,6,79.3,64,73.9,15.31,16.76,19.21,12.58,114.75,72.47
"43",1,"USC",5,"Baylor",74,70,"USC","region3","no",2024,"Pac-12",29,6,74.9,62.5,70.4,12.43,17.78,17.79,12.41,114.98,73.58,"Big 12",26,8,74.8,60.4,73.9,14.38,13.86,16.15,12.09,109.1,71.37
"44",3,"UConn",7,"Duke",53,45,"UConn","region3","no",2024,"Big East",33,6,79.7,57.2,71.4,22.46,16.62,22.09,15.56,119.66,68.22,"ACC",22,12,68.2,57.9,69.1,10.32,17.25,10.02,17.55,106.7,69.53
"45",1,"USC",3,"UConn",73,80,"UConn","region3","yes",2024,"Pac-12",29,6,74.9,62.5,70.4,12.43,17.78,17.79,12.41,114.98,73.58,"Big East",33,6,79.7,57.2,71.4,22.46,16.62,22.09,15.56,119.66,68.22
"46",1,"Texas",16,"Drexel",82,42,"Texas","region4","no",2024,"Big 12",33,5,80.1,57.7,71.5,22.42,14.05,21.14,15.33,119.16,69.75,"CAA",19,15,57.2,55.9,63.7,1.32,-3.1,-9.48,7.01,88.04,91.58
"47",8,"Alabama",9,"Florida State",82,74,"Alabama","region4","no",2024,"SEC",24,10,73.1,62.2,71.3,10.94,10.84,11.9,9.88,108.02,78.64,"ACC",23,11,78.5,71.5,76.5,7.06,12.79,18.8,1.05,107.16,81.22
"48",5,"Utah",12,"South Dakota State",68,54,"Utah","region4","no",2024,"Pac-12",23,11,77.4,62,69.7,15.38,15.46,18.07,10.62,116.61,77.84,"Summit",27,6,73.6,60.2,69.1,13.42,0.47,5.43,7.75,101.4,82.64
"49",4,"Gonzaga",13,"UC-Irvine",75,56,"Gonzaga","region4","no",2024,"WCC",32,4,80,60.3,68.3,19.67,6.64,17.97,8.33,119.17,82.28,"Big West",23,9,63,55.7,67.3,7.31,-4.46,-3.33,6.18,91.14,86.79
"50",6,"Tennessee",11,"Green Bay",92,63,"Tennessee","region4","no",2024,"SEC",20,13,76.3,69.7,74.1,6.58,17.97,17.87,6.68,112.23,80.01,"Horizon",27,7,73.9,58.1,66.7,15.74,-0.81,6.13,8.09,108.33,86.76
"51",3,"NC State",14,"Chattanooga",64,45,"NC State","region4","no",2024,"ACC",31,7,73.4,60.7,71.7,12.71,17.7,16.26,14.15,111.21,70.86,"Southern",28,5,64.2,54.5,64,9.76,-5.36,-5,7.8,95.64,90.08
"52",7,"Iowa State",10,"Maryland",93,86,"Iowa State","region4","no",2024,"Big 12",21,12,75.4,69.1,72.1,6.24,16.7,16.35,6.59,112.52,81.94,"Big Ten",19,14,77.9,73.3,76.2,4.64,17.97,18.54,4.06,109.79,80.39
"53",2,"Stanford",15,"Norfolk State",79,50,"Stanford","region4","no",2024,"Pac-12",30,6,77.5,60,68.7,17.47,16.43,20.62,13.28,120.63,73.71,"MEAC",27,6,67,53.1,68.7,13.91,-11.3,-2.57,3.86,91.24,89.24
"54",1,"Texas",8,"Alabama",65,54,"Texas","region4","no",2024,"Big 12",33,5,80.1,57.7,71.5,22.42,14.05,21.14,15.33,119.16,69.75,"SEC",24,10,73.1,62.2,71.3,10.94,10.84,11.9,9.88,108.02,78.64
"55",5,"Utah",4,"Gonzaga",66,77,"Gonzaga","region4","no",2024,"Pac-12",23,11,77.4,62,69.7,15.38,15.46,18.07,10.62,116.61,77.84,"WCC",32,4,80,60.3,68.3,19.67,6.64,17.97,8.33,119.17,82.28
"56",6,"Tennessee",3,"NC State",72,79,"NC State","region4","no",2024,"SEC",20,13,76.3,69.7,74.1,6.58,17.97,17.87,6.68,112.23,80.01,"ACC",31,7,73.4,60.7,71.7,12.71,17.7,16.26,14.15,111.21,70.86
"57",7,"Iowa State",2,"Stanford",81,87,"Stanford","region4","no",2024,"Big 12",21,12,75.4,69.1,72.1,6.24,16.7,16.35,6.59,112.52,81.94,"Pac-12",30,6,77.5,60,68.7,17.47,16.43,20.62,13.28,120.63,73.71
"58",1,"Texas",4,"Gonzaga",69,47,"Texas","region4","no",2024,"Big 12",33,5,80.1,57.7,71.5,22.42,14.05,21.14,15.33,119.16,69.75,"WCC",32,4,80,60.3,68.3,19.67,6.64,17.97,8.33,119.17,82.28
"59",3,"NC State",2,"Stanford",77,67,"NC State","region4","yes",2024,"ACC",31,7,73.4,60.7,71.7,12.71,17.7,16.26,14.15,111.21,70.86,"Pac-12",30,6,77.5,60,68.7,17.47,16.43,20.62,13.28,120.63,73.71
"60",1,"Texas",3,"NC State",66,76,"NC State","region4","yes",2024,"Big 12",33,5,80.1,57.7,71.5,22.42,14.05,21.14,15.33,119.16,69.75,"ACC",31,7,73.4,60.7,71.7,12.71,17.7,16.26,14.15,111.21,70.86
"61",1,"South Carolina",3,"NC State",78,59,"South Carolina","final four","no",2024,"SEC",38,0,85.4,56.6,74.1,28.89,16.37,26.76,18.51,123.17,63.87,"ACC",31,7,73.4,60.7,71.7,12.71,17.7,16.26,14.15,111.21,70.86
"62",1,"Iowa",3,"UConn",71,69,"Iowa","final four","no",2024,"Big Ten",34,5,91,71.9,76.7,19.1,17.95,32.73,4.32,126.21,77.95,"Big East",33,6,79.7,57.2,71.4,22.46,16.62,22.09,15.56,119.66,68.22
"63",1,"South Carolina",1,"Iowa",87,75,"South Carolina","championship","no",2024,"SEC",38,0,85.4,56.6,74.1,28.89,16.37,26.76,18.51,123.17,63.87,"Big Ten",34,5,91,71.9,76.7,19.1,17.95,32.73,4.32,126.21,77.95
"64",1,"South Carolina",16,"Norfolk State",72,40,"South Carolina","region1","no",2023,"SEC",38,0,85.4,56.6,69.6,28.89,16.37,26.76,18.51,123.17,63.87,"MEAC",27,6,67,53.1,70.7,13.91,-11.3,-2.57,3.86,91.24,89.24
"65",8,"South Florida",9,"Marquette",67,65,"South Florida","region1","no",2023,"AAC",19,14,64.2,60.2,67.9,4,2.93,-0.56,7.49,96.12,87.18,"Big East",23,9,69.6,59.5,68.6,10.13,8.85,9.03,9.95,103.6,78.28
"66",5,"Oklahoma",12,"Portland",85,63,"Oklahoma","region1","no",2023,"Big 12",23,10,76.5,69.1,79,7.36,15.85,18.36,4.85,107.33,76.94,"WCC",21,13,67.9,62.4,69.5,5.5,3.77,2.82,4.29,91.9,82.51
"67",4,"UCLA",13,"Sacramento State",67,45,"UCLA","region1","no",2023,"Pac-12",27,7,77.3,61.1,69.2,16.18,17.82,19.24,14.76,116.38,70.44,"Big Sky",6,25,56.7,66.9,64.1,-10.16,-2.34,-9.07,-3.43,81.36,99.83
"68",6,"Creighton",11,"Mississippi State",66,81,"Mississippi State","region1","yes",2023,"Big East",26,6,73.4,62.8,67,10.59,12.53,14.72,8.4,114.53,82.61,"SEC",23,12,75.6,65.8,71.3,9.86,10.19,14.87,5.19,111.24,84.64
"69",3,"Notre Dame",14,"Southern Utah",82,56,"Notre Dame","region1","no",2023,"ACC",28,7,78.6,61.1,71.7,17.51,14.74,19.24,13.02,110.98,68.75,"WAC",8,22,65.7,73.6,71.2,-7.87,-3.85,-3.54,-8.94,88.34,105.46
"70",7,"Arizona",10,"West Virginia",75,62,"Arizona","region1","no",2023,"Pac-12",18,16,69.9,65.8,72.2,4.09,17.17,12.64,8.61,106.01,77.07,"Big 12",25,8,73.7,57.8,72.2,15.85,11.67,13.54,13.98,107.91,71.61
"71",2,"Maryland",15,"Holy Cross",93,61,"Maryland","region1","no",2023,"Big Ten",19,14,77.9,73.3,75.3,4.64,17.97,18.54,4.06,109.79,80.39,"Patriot",21,13,62.9,56.9,66,6.06,-8.52,-5.69,2.17,87.8,92.9
"72",1,"South Carolina",8,"South Florida",76,45,"South Carolina","region1","no",2023,"SEC",38,0,85.4,56.6,69.6,28.89,16.37,26.76,18.51,123.17,63.87,"AAC",19,14,64.2,60.2,67.9,4,2.93,-0.56,7.49,96.12,87.18
"73",5,"Oklahoma",4,"UCLA",73,82,"UCLA","region1","no",2023,"Big 12",23,10,76.5,69.1,79,7.36,15.85,18.36,4.85,107.33,76.94,"Pac-12",27,7,77.3,61.1,69.2,16.18,17.82,19.24,14.76,116.38,70.44
"74",11,"Mississippi State",3,"Notre Dame",48,53,"Notre Dame","region1","no",2023,"SEC",23,12,75.6,65.8,71.3,9.86,10.19,14.87,5.19,111.24,84.64,"ACC",28,7,78.6,61.1,71.7,17.51,14.74,19.24,13.02,110.98,68.75
"75",7,"Arizona",2,"Maryland",64,77,"Maryland","region1","no",2023,"Pac-12",18,16,69.9,65.8,72.2,4.09,17.17,12.64,8.61,106.01,77.07,"Big Ten",19,14,77.9,73.3,75.3,4.64,17.97,18.54,4.06,109.79,80.39
"76",1,"South Carolina",4,"UCLA",59,43,"South Carolina","region1","no",2023,"SEC",38,0,85.4,56.6,69.6,28.89,16.37,26.76,18.51,123.17,63.87,"Pac-12",27,7,77.3,61.1,69.2,16.18,17.82,19.24,14.76,116.38,70.44
"77",3,"Notre Dame",2,"Maryland",59,76,"Maryland","region1","no",2023,"ACC",28,7,78.6,61.1,71.7,17.51,14.74,19.24,13.02,110.98,68.75,"Big Ten",19,14,77.9,73.3,75.3,4.64,17.97,18.54,4.06,109.79,80.39
"78",1,"South Carolina",2,"Maryland",86,75,"South Carolina","region1","no",2023,"SEC",38,0,85.4,56.6,69.6,28.89,16.37,26.76,18.51,123.17,63.87,"Big Ten",19,14,77.9,73.3,75.3,4.64,17.97,18.54,4.06,109.79,80.39
"79",1,"Indiana",16,"Tennessee Tech",77,47,"Indiana","region2","no",2023,"Big Ten",26,6,79.5,64.4,72.1,15.13,14.38,18.03,11.47,117.01,77.45,"OVC",16,15,69.9,66.9,68.4,3.03,-7.02,-0.38,-6.44,89.62,99.49
"80",8,"Oklahoma State",9,"Miami (FL)",61,62,"Miami (FL)","region2","yes",2023,"Big 12",14,16,69,66.4,72,2.53,14.47,9.67,7.33,105.5,82.51,"ACC",19,12,66.6,60.4,70.9,6.29,11.11,5.98,11.42,102.59,78.75
"81",5,"Washington State",12,"Florida Gulf Coast",63,74,"Florida Gulf Coast","region2","yes",2023,"Pac-12",21,15,69.1,61.8,68.1,7.31,14.57,10.26,11.62,108.25,78.62,"A-Sun",29,5,74.9,55,69.4,19.85,-2.61,6.19,7.9,105.72,84.8
"82",4,"Villanova",13,"Cleveland State",76,59,"Villanova","region2","no",2023,"Big East",22,13,64.8,59.6,66.6,5.2,12.07,6,11.27,104.51,80.38,"Horizon",29,6,74.3,61.4,72,12.94,-4.33,6.21,2.41,99.25,87.89
"83",6,"Michigan",11,"UNLV",71,59,"Michigan","region2","no",2023,"Big Ten",20,14,70,64.3,71.8,5.71,13.39,8.68,10.42,105.27,79.93,"MWC",30,3,79,59.1,70.5,19.97,-0.34,13.71,5.93,111.1,83.59
"84",3,"LSU",14,"Hawaii",73,50,"LSU","region2","no",2023,"SEC",31,6,85.9,63.3,72.9,22.59,11.46,25.71,8.34,116.36,73.55,"Big West",20,11,59.5,56.3,65.6,3.23,-1.53,-4.68,6.37,90.77,88.29
"85",7,"NC State",10,"Princeton",63,64,"Princeton","region2","yes",2023,"ACC",31,7,73.4,60.7,71.6,12.71,17.7,16.26,14.15,111.21,70.86,"Ivy",25,5,69.2,56.2,66.9,12.97,4.13,6.45,10.65,106.19,81.28
"86",2,"Utah",15,"Gardner-Webb",103,77,"Utah","region2","no",2023,"Pac-12",23,11,77.4,62,73.7,15.38,15.46,18.07,10.62,116.61,77.84,"Big South",6,24,62.3,76.7,74.5,-14.43,-9.64,-5.87,-18.2,79.51,111.52
"87",1,"Indiana",9,"Miami (FL)",68,70,"Miami (FL)","region2","yes",2023,"Big Ten",26,6,79.5,64.4,72.1,15.13,14.38,18.03,11.47,117.01,77.45,"ACC",19,12,66.6,60.4,70.9,6.29,11.11,5.98,11.42,102.59,78.75
"88",12,"Florida Gulf Coast",4,"Villanova",57,76,"Villanova","region2","no",2023,"A-Sun",29,5,74.9,55,69.4,19.85,-2.61,6.19,7.9,105.72,84.8,"Big East",22,13,64.8,59.6,66.6,5.2,12.07,6,11.27,104.51,80.38
"89",6,"Michigan",3,"LSU",42,66,"LSU","region2","no",2023,"Big Ten",20,14,70,64.3,71.8,5.71,13.39,8.68,10.42,105.27,79.93,"SEC",31,6,85.9,63.3,72.9,22.59,11.46,25.71,8.34,116.36,73.55
"90",10,"Princeton",2,"Utah",56,63,"Utah","region2","no",2023,"Ivy",25,5,69.2,56.2,66.9,12.97,4.13,6.45,10.65,106.19,81.28,"Pac-12",23,11,77.4,62,73.7,15.38,15.46,18.07,10.62,116.61,77.84
"91",9,"Miami (FL)",4,"Villanova",70,65,"Miami (FL)","region2","yes",2023,"ACC",19,12,66.6,60.4,70.9,6.29,11.11,5.98,11.42,102.59,78.75,"Big East",22,13,64.8,59.6,66.6,5.2,12.07,6,11.27,104.51,80.38
"92",3,"LSU",2,"Utah",66,63,"LSU","region2","yes",2023,"SEC",31,6,85.9,63.3,72.9,22.59,11.46,25.71,8.34,116.36,73.55,"Pac-12",23,11,77.4,62,73.7,15.38,15.46,18.07,10.62,116.61,77.84
"93",9,"Miami (FL)",3,"LSU",42,54,"LSU","region2","no",2023,"ACC",19,12,66.6,60.4,70.9,6.29,11.11,5.98,11.42,102.59,78.75,"SEC",31,6,85.9,63.3,72.9,22.59,11.46,25.71,8.34,116.36,73.55
"94",1,"Virginia Tech",16,"Chattanooga",58,33,"Virginia Tech","region3","no",2023,"ACC",25,8,75.2,61.7,68.5,13.48,13.4,15.29,11.59,115.94,79.24,"Southern",28,5,64.2,54.5,64.1,9.76,-5.36,-5,7.8,95.64,90.08
"95",8,"USC",9,"South Dakota State",57,62,"South Dakota State","region3","yes",2023,"Pac-12",29,6,74.9,62.5,67.4,12.43,17.78,17.79,12.41,114.98,73.58,"Summit",27,6,73.6,60.2,71.5,13.42,0.47,5.43,7.75,101.4,82.64
"96",5,"Iowa State",12,"Toledo",73,80,"Toledo","region3","yes",2023,"Big 12",21,12,75.4,69.1,72.2,6.24,16.7,16.35,6.59,112.52,81.94,"MAC",28,6,72.7,60.1,69.6,12.62,-0.41,6.64,4.68,100.89,85.06
"97",4,"Tennessee",13,"Saint Louis",95,50,"Tennessee","region3","no",2023,"SEC",20,13,76.3,69.7,73.3,6.58,17.97,17.87,6.68,112.23,80.01,"A-10",22,18,72.1,70,74,2.05,3.14,7.36,-5.3,97.74,94.68
"98",6,"UNC",11,"St. John's (NY)",61,59,"UNC","region3","no",2023,"ACC",20,13,67.8,62.5,72.2,5.27,15.69,9.52,11.44,104.49,76.16,"Big East",18,15,60.4,58.2,64.9,2.21,7.31,0.06,9.46,99.22,85.66
"99",3,"Ohio State",14,"James Madison",80,66,"Ohio State","region3","no",2023,"Big Ten",26,6,79.3,64,76.2,15.31,16.76,19.21,12.58,114.75,72.47,"Sun Belt",23,12,72.3,66.5,70.3,5.77,1.2,5.26,-0.27,94.8,88.42
"100",7,"Baylor",10,"Alabama",78,74,"Baylor","region3","no",2023,"Big 12",26,8,74.8,60.4,72.6,14.38,13.86,16.15,12.09,109.1,71.37,"SEC",24,10,73.1,62.2,68.9,10.94,10.84,11.9,9.88,108.02,78.64
"101",2,"UConn",15,"Vermont",95,52,"UConn","region3","no",2023,"Big East",33,6,79.7,57.2,71.5,22.46,16.62,22.09,15.56,119.66,68.22,"AEC",25,12,59.4,52.8,63.5,6.59,-6.25,-6.38,6.47,93.22,92.18
"102",1,"Virginia Tech",9,"South Dakota State",72,60,"Virginia Tech","region3","no",2023,"ACC",25,8,75.2,61.7,68.5,13.48,13.4,15.29,11.59,115.94,79.24,"Summit",27,6,73.6,60.2,71.5,13.42,0.47,5.43,7.75,101.4,82.64
"103",12,"Toledo",4,"Tennessee",47,94,"Tennessee","region3","no",2023,"MAC",28,6,72.7,60.1,69.6,12.62,-0.41,6.64,4.68,100.89,85.06,"SEC",20,13,76.3,69.7,73.3,6.58,17.97,17.87,6.68,112.23,80.01
"104",6,"UNC",3,"Ohio State",69,71,"Ohio State","region3","no",2023,"ACC",20,13,67.8,62.5,72.2,5.27,15.69,9.52,11.44,104.49,76.16,"Big Ten",26,6,79.3,64,76.2,15.31,16.76,19.21,12.58,114.75,72.47
