"","seed1","team1","seed2","team2","score1","score2","winner","region","year"
"98",6,"Syracuse",11,"Arizona",74,69,"Syracuse","region3",2024
"99",3,"UConn",14,"Jackson State",86,64,"UConn","region3",2024
"100",7,"Duke",10,"Richmond",72,61,"Duke","region3",2024
"101",2,"Ohio State",15,"Maine",80,57,"Ohio State","region3",2024
"102",1,"USC",8,"Kansas",73,55,"USC","region3",2024
"103",5,"Baylor",4,"Virginia Tech",75,72,"Baylor","region3",2024
"104",6,"Syracuse",3,"UConn",64,72,"UConn","region3",2024
"105",7,"Duke",2,"Ohio State",75,63,"Duke","region3",2024
"106",1,"USC",5,"Baylor",74,70,"USC","region3",2024
"107",3,"UConn",7,"Duke",53,45,"UConn","region3",2024
"108",1,"USC",3,"UConn",73,80,"UConn","region3",2024
"109",1,"Texas",16,"Drexel",82,42,"Texas","region4",2024
"110",8,"Alabama",9,"Florida State",82,74,"Alabama","region4",2024
"111",5,"Utah",12,"South Dakota State",68,54,"Utah","region4",2024
"112",4,"Gonzaga",13,"UC-Irvine",75,56,"Gonzaga","region4",2024
"113",6,"Tennessee",11,"Green Bay",92,63,"Tennessee","region4",2024
"114",3,"NC State",14,"Chattanooga",64,45,"NC State","region4",2024
"115",7,"Iowa State",10,"Maryland",93,86,"Iowa State","region4",2024
"116",2,"Stanford",15,"Norfolk State",79,50,"Stanford","region4",2024
"117",1,"Texas",8,"Alabama",65,54,"Texas","region4",2024
"118",5,"Utah",4,"Gonzaga",66,77,"Gonzaga","region4",2024
"119",6,"Tennessee",3,"NC State",72,79,"NC State","region4",2024
"120",7,"Iowa State",2,"Stanford",81,87,"Stanford","region4",2024
"121",1,"Texas",4,"Gonzaga",69,47,"Texas","region4",2024
"122",3,"NC State",2,"Stanford",77,67,"NC State","region4",2024
"123",1,"Texas",3,"NC State",66,76,"NC State","region4",2024
"124",1,"South Carolina",3,"NC State",78,59,"South Carolina","final four",2024
"125",1,"Iowa",3,"UConn",71,69,"Iowa","final four",2024
"126",1,"South Carolina",1,"Iowa",87,75,"South Carolina","championship",2024
"127",1,"South Carolina",16,"Norfolk State",72,40,"South Carolina","region1",2023
"128",8,"South Florida",9,"Marquette",67,65,"South Florida","region1",2023
"129",5,"Oklahoma",12,"Portland",85,63,"Oklahoma","region1",2023
"130",4,"UCLA",13,"Sacramento State",67,45,"UCLA","region1",2023
"131",6,"Creighton",11,"Mississippi State",66,81,"Mississippi State","region1",2023
"132",3,"Notre Dame",14,"Southern Utah",82,56,"Notre Dame","region1",2023
"133",7,"Arizona",10,"West Virginia",75,62,"Arizona","region1",2023
"134",2,"Maryland",15,"Holy Cross",93,61,"Maryland","region1",2023
"135",1,"South Carolina",8,"South Florida",76,45,"South Carolina","region1",2023
"136",5,"Oklahoma",4,"UCLA",73,82,"UCLA","region1",2023
"137",11,"Mississippi State",3,"Notre Dame",48,53,"Notre Dame","region1",2023
"138",7,"Arizona",2,"Maryland",64,77,"Maryland","region1",2023
"139",1,"South Carolina",4,"UCLA",59,43,"South Carolina","region1",2023
"140",3,"Notre Dame",2,"Maryland",59,76,"Maryland","region1",2023
"141",1,"South Carolina",2,"Maryland",86,75,"South Carolina","region1",2023
"142",1,"Indiana",16,"Tennessee Tech",77,47,"Indiana","region2",2023
"143",8,"Oklahoma State",9,"Miami (FL)",61,62,"Miami (FL)","region2",2023
"144",5,"Washington State",12,"Florida Gulf Coast",63,74,"Florida Gulf Coast","region2",2023
"145",4,"Villanova",13,"Cleveland State",76,59,"Villanova","region2",2023
"146",6,"Michigan",11,"UNLV",71,59,"Michigan","region2",2023
"147",3,"LSU",14,"Hawaii",73,50,"LSU","region2",2023
"148",7,"NC State",10,"Princeton",63,64,"Princeton","region2",2023
"149",2,"Utah",15,"Gardner-Webb",103,77,"Utah","region2",2023
"150",1,"Indiana",9,"Miami (FL)",68,70,"Miami (FL)","region2",2023
"151",12,"Florida Gulf Coast",4,"Villanova",57,76,"Villanova","region2",2023
"152",6,"Michigan",3,"LSU",42,66,"LSU","region2",2023
"153",10,"Princeton",2,"Utah",56,63,"Utah","region2",2023
"154",9,"Miami (FL)",4,"Villanova",70,65,"Miami (FL)","region2",2023
"155",3,"LSU",2,"Utah",66,63,"LSU","region2",2023
"156",9,"Miami (FL)",3,"LSU",42,54,"LSU","region2",2023
"157",1,"Virginia Tech",16,"Chattanooga",58,33,"Virginia Tech","region3",2023
"158",8,"USC",9,"South Dakota State",57,62,"South Dakota State","region3",2023
"159",5,"Iowa State",12,"Toledo",73,80,"Toledo","region3",2023
"160",4,"Tennessee",13,"Saint Louis",95,50,"Tennessee","region3",2023
"161",6,"UNC",11,"St. John's (NY)",61,59,"UNC","region3",2023
"162",3,"Ohio State",14,"James Madison",80,66,"Ohio State","region3",2023
"163",7,"Baylor",10,"Alabama",78,74,"Baylor","region3",2023
"164",2,"UConn",15,"Vermont",95,52,"UConn","region3",2023
"165",1,"Virginia Tech",9,"South Dakota State",72,60,"Virginia Tech","region3",2023
"166",12,"Toledo",4,"Tennessee",47,94,"Tennessee","region3",2023
"167",6,"UNC",3,"Ohio State",69,71,"Ohio State","region3",2023
"168",7,"Baylor",2,"UConn",58,77,"UConn","region3",2023
"169",1,"Virginia Tech",4,"Tennessee",73,64,"Virginia Tech","region3",2023
"170",3,"Ohio State",2,"UConn",73,61,"Ohio State","region3",2023
"171",1,"Virginia Tech",3,"Ohio State",84,74,"Virginia Tech","region3",2023
"172",1,"Stanford",16,"Sacred Heart",92,49,"Stanford","region4",2023
"173",8,"Ole Miss",9,"Gonzaga",71,48,"Ole Miss","region4",2023
"174",5,"Louisville",12,"Drake",83,81,"Louisville","region4",2023
"175",4,"Texas",13,"East Carolina",79,40,"Texas","region4",2023
"176",6,"Colorado",11,"Middle Tennessee",82,60,"Colorado","region4",2023
"177",3,"Duke",14,"Iona",89,49,"Duke","region4",2023
"178",7,"Florida State",10,"Georgia",54,66,"Georgia","region4",2023
"179",2,"Iowa",15,"Southeastern Louisiana",95,43,"Iowa","region4",2023
"180",1,"Stanford",8,"Ole Miss",49,54,"Ole Miss","region4",2023
"181",5,"Louisville",4,"Texas",73,51,"Louisville","region4",2023
"182",6,"Colorado",3,"Duke",61,53,"Colorado","region4",2023
"183",10,"Georgia",2,"Iowa",66,74,"Iowa","region4",2023
"184",8,"Ole Miss",5,"Louisville",62,72,"Louisville","region4",2023
"185",6,"Colorado",2,"Iowa",77,87,"Iowa","region4",2023
"186",5,"Louisville",2,"Iowa",83,97,"Iowa","region4",2023
"187",1,"South Carolina",2,"Iowa",73,77,"Iowa","final four",2023
"188",3,"LSU",1,"Virginia Tech",79,72,"LSU","final four",2023
"189",2,"Iowa",3,"LSU",85,102,"LSU","championship",2023
"190",1,"NC State",16,"Longwood",96,68,"NC State","region1",2022
"191",8,"Washington State",9,"Kansas State",40,50,"Kansas State","region1",2022
"192",5,"Notre Dame",12,"UMass",89,78,"Notre Dame","region1",2022
"193",4,"Oklahoma",13,"IU Indianapolis",78,72,"Oklahoma","region1",2022
"194",6,"Kentucky",11,"Princeton",62,69,"Princeton","region1",2022
"195",3,"Indiana",14,"Charlotte",85,51,"Indiana","region1",2022
"196",7,"UCF",10,"Florida",69,52,"UCF","region1",2022
"197",2,"UConn",15,"Mercer",83,38,"UConn","region1",2022
"198",1,"NC State",9,"Kansas State",89,57,"NC State","region1",2022
"199",5,"Notre Dame",4,"Oklahoma",108,64,"Notre Dame","region1",2022
"200",11,"Princeton",3,"Indiana",55,56,"Indiana","region1",2022
"201",7,"UCF",2,"UConn",47,52,"UConn","region1",2022
"202",1,"NC State",5,"Notre Dame",66,63,"NC State","region1",2022
"203",3,"Indiana",2,"UConn",58,75,"UConn","region1",2022
"204",1,"NC State",2,"UConn",87,91,"UConn","region1",2022
"205",1,"South Carolina",16,"Howard",79,21,"South Carolina","region2",2022
"206",8,"Miami (FL)",9,"South Florida",78,66,"Miami (FL)","region2",2022
"207",5,"UNC",12,"Stephen F. Austin",79,66,"UNC","region2",2022
"208",4,"Arizona",13,"UNLV",72,67,"Arizona","region2",2022
"209",6,"Georgia",11,"Dayton",70,54,"Georgia","region2",2022
"210",3,"Iowa State",14,"UT Arlington",78,71,"Iowa State","region2",2022
"211",7,"Colorado",10,"Creighton",74,84,"Creighton","region2",2022
"212",2,"Iowa",15,"Illinois State",98,58,"Iowa","region2",2022
"213",1,"South Carolina",8,"Miami (FL)",49,33,"South Carolina","region2",2022
"214",5,"UNC",4,"Arizona",63,45,"UNC","region2",2022
"215",6,"Georgia",3,"Iowa State",44,67,"Iowa State","region2",2022
"216",10,"Creighton",2,"Iowa",64,62,"Creighton","region2",2022
"217",1,"South Carolina",5,"UNC",69,61,"South Carolina","region2",2022
"218",3,"Iowa State",10,"Creighton",68,76,"Creighton","region2",2022
"219",1,"South Carolina",10,"Creighton",80,50,"South Carolina","region2",2022
"220",1,"Stanford",16,"Montana State",78,37,"Stanford","region3",2022
"221",8,"Kansas",9,"Georgia Tech",77,58,"Kansas","region3",2022
"222",5,"Virginia Tech",12,"Florida Gulf Coast",81,84,"Florida Gulf Coast","region3",2022
"223",4,"Maryland",13,"Delaware",102,71,"Maryland","region3",2022
"224",6,"Ohio State",11,"Missouri State",63,56,"Ohio State","region3",2022
"225",3,"LSU",14,"Jackson State",83,77,"LSU","region3",2022
"226",7,"Utah",10,"Arkansas",92,69,"Utah","region3",2022
"227",2,"Texas",15,"Fairfield",70,52,"Texas","region3",2022
"228",1,"Stanford",8,"Kansas",91,65,"Stanford","region3",2022
"229",12,"Florida Gulf Coast",4,"Maryland",65,89,"Maryland","region3",2022
"230",6,"Ohio State",3,"LSU",79,64,"Ohio State","region3",2022
"231",7,"Utah",2,"Texas",56,78,"Texas","region3",2022
"232",1,"Stanford",4,"Maryland",72,66,"Stanford","region3",2022
"233",6,"Ohio State",2,"Texas",63,66,"Texas","region3",2022
"234",1,"Stanford",2,"Texas",59,50,"Stanford","region3",2022
"235",1,"Louisville",16,"Albany (NY)",83,51,"Louisville","region4",2022
"236",8,"Nebraska",9,"Gonzaga",55,68,"Gonzaga","region4",2022
"237",5,"Oregon",12,"Belmont",70,73,"Belmont","region4",2022
"238",4,"Tennessee",13,"Buffalo",80,67,"Tennessee","region4",2022
"239",6,"BYU",11,"Villanova",57,61,"Villanova","region4",2022
"240",3,"Michigan",14,"American",74,39,"Michigan","region4",2022
"241",7,"Ole Miss",10,"South Dakota",61,75,"South Dakota","region4",2022
"242",2,"Baylor",15,"Hawaii",89,49,"Baylor","region4",2022
"243",1,"Louisville",9,"Gonzaga",68,59,"Louisville","region4",2022
"244",12,"Belmont",4,"Tennessee",67,70,"Tennessee","region4",2022
"245",11,"Villanova",3,"Michigan",49,64,"Michigan","region4",2022
"246",10,"South Dakota",2,"Baylor",61,47,"South Dakota","region4",2022
"247",1,"Louisville",4,"Tennessee",76,64,"Louisville","region4",2022
"248",3,"Michigan",10,"South Dakota",52,49,"Michigan","region4",2022
"249",1,"Louisville",3,"Michigan",62,50,"Louisville","region4",2022
"250",2,"UConn",1,"Stanford",63,58,"UConn","final four",2022
"251",1,"South Carolina",1,"Louisville",72,59,"South Carolina","final four",2022
"252",2,"UConn",1,"South Carolina",49,64,"South Carolina","championship",2022
"253",1,"Louisville",16,"Robert Morris",69,34,"Louisville","region1",2019
"254",8,"Michigan",9,"Kansas State",84,54,"Michigan","region1",2019
"255",5,"Gonzaga",12,"Little Rock",68,51,"Gonzaga","region1",2019
"256",4,"Oregon State",13,"Boise State",80,75,"Oregon State","region1",2019
"257",6,"UCLA",11,"Tennessee",89,77,"UCLA","region1",2019
"258",3,"Maryland",14,"Radford",73,51,"Maryland","region1",2019
"259",7,"Rutgers",10,"Buffalo",71,82,"Buffalo","region1",2019
"260",2,"UConn",15,"Towson",110,61,"UConn","region1",2019
"261",1,"Louisville",8,"Michigan",71,50,"Louisville","region1",2019
"262",5,"Gonzaga",4,"Oregon State",70,76,"Oregon State","region1",2019
"263",6,"UCLA",3,"Maryland",85,80,"UCLA","region1",2019
"264",10,"Buffalo",2,"UConn",72,84,"UConn","region1",2019
"265",1,"Louisville",4,"Oregon State",61,44,"Louisville","region1",2019
"266",6,"UCLA",2,"UConn",61,69,"UConn","region1",2019
"267",1,"Louisville",2,"UConn",73,80,"UConn","region1",2019
"268",1,"Notre Dame",16,"Bethune-Cookman",92,50,"Notre Dame","region2",2019
"269",8,"Central Michigan",9,"Michigan State",87,88,"Michigan State","region2",2019
"270",5,"Marquette",12,"Rice",58,54,"Marquette","region2",2019
"271",4,"Texas A&M",13,"Wright State",84,61,"Texas A&M","region2",2019
"272",6,"DePaul",11,"Missouri State",78,89,"Missouri State","region2",2019
"273",3,"Iowa State",14,"New Mexico State",97,61,"Iowa State","region2",2019
"274",7,"BYU",10,"Auburn",73,64,"BYU","region2",2019
"275",2,"Stanford",15,"UC-Davis",79,54,"Stanford","region2",2019
"276",1,"Notre Dame",9,"Michigan State",91,63,"Notre Dame","region2",2019
"277",5,"Marquette",4,"Texas A&M",76,78,"Texas A&M","region2",2019
"278",11,"Missouri State",3,"Iowa State",69,60,"Missouri State","region2",2019
"279",7,"BYU",2,"Stanford",63,72,"Stanford","region2",2019
"280",1,"Notre Dame",4,"Texas A&M",87,80,"Notre Dame","region2",2019
"281",11,"Missouri State",2,"Stanford",46,55,"Stanford","region2",2019
"282",1,"Notre Dame",2,"Stanford",84,68,"Notre Dame","region2",2019
"283",1,"Baylor",16,"Abilene Christian",95,38,"Baylor","region3",2019
"284",8,"California",9,"UNC",92,72,"California","region3",2019
"285",5,"Florida State",12,"Bucknell",70,67,"Florida State","region3",2019
"286",4,"South Carolina",13,"Belmont",74,52,"South Carolina","region3",2019
"287",6,"Kentucky",11,"Princeton",82,77,"Kentucky","region3",2019
"288",3,"NC State",14,"Maine",63,51,"NC State","region3",2019
"289",7,"Missouri",10,"Drake",77,76,"Missouri","region3",2019
"290",2,"Iowa",15,"Mercer",66,61,"Iowa","region3",2019
"291",1,"Baylor",8,"California",102,63,"Baylor","region3",2019
"292",5,"Florida State",4,"South Carolina",64,72,"South Carolina","region3",2019
"293",6,"Kentucky",3,"NC State",57,72,"NC State","region3",2019
"294",7,"Missouri",2,"Iowa",52,68,"Iowa","region3",2019
"295",1,"Baylor",4,"South Carolina",93,68,"Baylor","region3",2019
"296",3,"NC State",2,"Iowa",61,79,"Iowa","region3",2019
"297",1,"Baylor",2,"Iowa",85,53,"Baylor","region3",2019
"298",1,"Mississippi State",16,"Southern",103,46,"Mississippi State","region4",2019
"299",8,"South Dakota",9,"Clemson",66,79,"Clemson","region4",2019
"300",5,"Arizona State",12,"UCF",60,45,"Arizona State","region4",2019
"301",4,"Miami (FL)",13,"Florida Gulf Coast",69,62,"Miami (FL)","region4",2019
"302",6,"South Dakota State",11,"Quinnipiac",76,65,"South Dakota State","region4",2019
"303",3,"Syracuse",14,"Fordham",70,49,"Syracuse","region4",2019
"304",7,"Texas",10,"Indiana",65,69,"Indiana","region4",2019
"305",2,"Oregon",15,"Portland State",78,40,"Oregon","region4",2019
"306",1,"Mississippi State",9,"Clemson",85,61,"Mississippi State","region4",2019
"307",5,"Arizona State",4,"Miami (FL)",57,55,"Arizona State","region4",2019
"308",6,"South Dakota State",3,"Syracuse",75,64,"South Dakota State","region4",2019
"309",10,"Indiana",2,"Oregon",68,91,"Oregon","region4",2019
"310",1,"Mississippi State",5,"Arizona State",76,53,"Mississippi State","region4",2019
"311",6,"South Dakota State",2,"Oregon",53,63,"Oregon","region4",2019
"312",1,"Mississippi State",2,"Oregon",84,88,"Oregon","region4",2019
"313",2,"UConn",1,"Notre Dame",76,81,"Notre Dame","final four",2019
"314",1,"Baylor",2,"Oregon",72,67,"Baylor","final four",2019
"315",1,"Notre Dame",1,"Baylor",81,82,"Baylor","championship",2019
"316",1,"UConn",16,"Saint Francis (PA)",140,52,"UConn","region1",2018
"317",8,"Miami (FL)",9,"Quinnipiac",72,86,"Quinnipiac","region1",2018
"318",5,"Duke",12,"Belmont",72,58,"Duke","region1",2018
"319",4,"Georgia",13,"Mercer",68,63,"Georgia","region1",2018
"320",6,"South Florida",11,"Buffalo",79,102,"Buffalo","region1",2018
"321",3,"Florida State",14,"Little Rock",91,49,"Florida State","region1",2018
"322",7,"California",10,"Virginia",62,68,"Virginia","region1",2018
"323",2,"South Carolina",15,"North Carolina A&T",63,52,"South Carolina","region1",2018
"324",1,"UConn",9,"Quinnipiac",71,46,"UConn","region1",2018
"325",5,"Duke",4,"Georgia",66,40,"Duke","region1",2018
"326",11,"Buffalo",3,"Florida State",86,65,"Buffalo","region1",2018
"327",10,"Virginia",2,"South Carolina",56,66,"South Carolina","region1",2018
"328",1,"UConn",5,"Duke",72,59,"UConn","region1",2018
"329",11,"Buffalo",2,"South Carolina",63,79,"South Carolina","region1",2018
"330",1,"UConn",2,"South Carolina",94,65,"UConn","region1",2018
"331",1,"Mississippi State",16,"Nicholls State",95,50,"Mississippi State","region2",2018
"332",8,"Syracuse",9,"Oklahoma State",57,84,"Oklahoma State","region2",2018
"333",5,"Maryland",12,"Princeton",77,57,"Maryland","region2",2018
"334",4,"NC State",13,"Elon",62,35,"NC State","region2",2018
"335",6,"Iowa",11,"Creighton",70,76,"Creighton","region2",2018
"336",3,"UCLA",14,"American",71,60,"UCLA","region2",2018
"337",7,"Arizona State",10,"Nebraska",73,62,"Arizona State","region2",2018
"338",2,"Texas",15,"Maine",83,54,"Texas","region2",2018
"339",1,"Mississippi State",9,"Oklahoma State",71,56,"Mississippi State","region2",2018
"340",5,"Maryland",4,"NC State",60,74,"NC State","region2",2018
"341",11,"Creighton",3,"UCLA",64,86,"UCLA","region2",2018
"342",7,"Arizona State",2,"Texas",65,85,"Texas","region2",2018
"343",1,"Mississippi State",4,"NC State",71,57,"Mississippi State","region2",2018
"344",3,"UCLA",2,"Texas",84,75,"UCLA","region2",2018
"345",1,"Mississippi State",3,"UCLA",89,73,"Mississippi State","region2",2018
"346",1,"Louisville",16,"Boise State",74,42,"Louisville","region3",2018
"347",8,"Marquette",9,"Dayton",84,65,"Marquette","region3",2018
"348",5,"Missouri",12,"Florida Gulf Coast",70,80,"Florida Gulf Coast","region3",2018
"349",4,"Stanford",13,"Gonzaga",82,68,"Stanford","region3",2018
"350",6,"Oregon State",11,"Western Kentucky",82,58,"Oregon State","region3",2018
"351",3,"Tennessee",14,"Liberty",100,60,"Tennessee","region3",2018
"352",7,"Michigan",10,"Northern Colorado",75,61,"Michigan","region3",2018
"353",2,"Baylor",15,"Grambling",96,46,"Baylor","region3",2018
"354",1,"Louisville",8,"Marquette",90,72,"Louisville","region3",2018
"355",12,"Florida Gulf Coast",4,"Stanford",70,90,"Stanford","region3",2018
"356",6,"Oregon State",3,"Tennessee",66,59,"Oregon State","region3",2018
"357",7,"Michigan",2,"Baylor",58,80,"Baylor","region3",2018
"358",1,"Louisville",4,"Stanford",86,59,"Louisville","region3",2018
"359",6,"Oregon State",2,"Baylor",72,67,"Oregon State","region3",2018
"360",1,"Louisville",6,"Oregon State",76,43,"Louisville","region3",2018
"361",1,"Notre Dame",16,"Cal State Northridge",99,81,"Notre Dame","region4",2018
"362",8,"South Dakota State",9,"Villanova",74,81,"Villanova","region4",2018
"363",5,"DePaul",12,"Oklahoma",90,79,"DePaul","region4",2018
"364",4,"Texas A&M",13,"Drake",89,76,"Texas A&M","region4",2018
"365",6,"LSU",11,"Central Michigan",69,78,"Central Michigan","region4",2018
"366",3,"Ohio State",14,"George Washington",87,45,"Ohio State","region4",2018
"367",7,"Green Bay",10,"Minnesota",77,89,"Minnesota","region4",2018
"368",2,"Oregon",15,"Seattle",88,45,"Oregon","region4",2018
"369",1,"Notre Dame",9,"Villanova",98,72,"Notre Dame","region4",2018
"370",5,"DePaul",4,"Texas A&M",79,80,"Texas A&M","region4",2018
"371",11,"Central Michigan",3,"Ohio State",95,78,"Central Michigan","region4",2018
"372",10,"Minnesota",2,"Oregon",73,101,"Oregon","region4",2018
"373",1,"Notre Dame",4,"Texas A&M",90,84,"Notre Dame","region4",2018
"374",11,"Central Michigan",2,"Oregon",69,83,"Oregon","region4",2018
"375",1,"Notre Dame",2,"Oregon",84,74,"Notre Dame","region4",2018
"376",1,"UConn",1,"Notre Dame",89,91,"Notre Dame","final four",2018
"377",1,"Mississippi State",1,"Louisville",73,63,"Mississippi State","final four",2018
"378",1,"Notre Dame",1,"Mississippi State",61,58,"Notre Dame","championship",2018
